dataset,target,model,metric,value,seed,mean,std,ci_lo,ci_hi,noise_std,target_form,n_classes,sample_n,random_state,notes
acs_income,high_income,ConstantPredictor,model_flippability_sparsity,0.0,9,,,,,-1.0,binary,2,30,9,
acs_income,high_income,ConstantPredictor,model_flippability_sparsity,0.0,10,,,,,-1.0,binary,2,30,10,
acs_income,high_income,ConstantPredictor,model_flippability_sparsity,0.0,11,,,,,-1.0,binary,2,30,11,
acs_income,high_income,ConstantPredictor,model_flippability_sparsity,0.0,12,,,,,-1.0,binary,2,30,12,
acs_income,high_income,ConstantPredictor,model_flippability_sparsity,0.0,13,,,,,-1.0,binary,2,30,13,
acs_income,high_income,ConstantPredictor,model_flippability_sparsity,0.0,14,,,,,-1.0,binary,2,30,14,
acs_income,high_income,ConstantPredictor,model_flippability_sparsity,0.0,15,,,,,-1.0,binary,2,30,15,
acs_income,high_income,ConstantPredictor,model_flippability_sparsity,0.0,16,,,,,-1.0,binary,2,30,16,
acs_income,high_income,ConstantPredictor,model_flippability_sparsity,0.0,17,,,,,-1.0,binary,2,30,17,
acs_income,high_income,ConstantPredictor,model_flippability_sparsity,0.0,18,,,,,-1.0,binary,2,30,18,
acs_income,high_income,ConstantPredictor,model_flippability_sparsity,0.0,19,,,,,-1.0,binary,2,30,19,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,-1,0.0,0.0,0.0,0.0,-1.0,binary,2,30,-1,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,0,,,,,-1.0,binary,2,30,0,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,1,,,,,-1.0,binary,2,30,1,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,2,,,,,-1.0,binary,2,30,2,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,3,,,,,-1.0,binary,2,30,3,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,4,,,,,-1.0,binary,2,30,4,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,5,,,,,-1.0,binary,2,30,5,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,6,,,,,-1.0,binary,2,30,6,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,7,,,,,-1.0,binary,2,30,7,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,8,,,,,-1.0,binary,2,30,8,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,9,,,,,-1.0,binary,2,30,9,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,10,,,,,-1.0,binary,2,30,10,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,11,,,,,-1.0,binary,2,30,11,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,12,,,,,-1.0,binary,2,30,12,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,13,,,,,-1.0,binary,2,30,13,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,14,,,,,-1.0,binary,2,30,14,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,15,,,,,-1.0,binary,2,30,15,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,16,,,,,-1.0,binary,2,30,16,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,17,,,,,-1.0,binary,2,30,17,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,18,,,,,-1.0,binary,2,30,18,
acs_income,high_income,ConstantPredictor,model_flippability_validity,0.0,19,,,,,-1.0,binary,2,30,19,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,-1,1.0,0.0,1.0,1.0,0.1,binary,2,500,-1,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,0,,,,,0.1,binary,2,500,0,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,1,,,,,0.1,binary,2,500,1,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,2,,,,,0.1,binary,2,500,2,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,3,,,,,0.1,binary,2,500,3,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,4,,,,,0.1,binary,2,500,4,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,5,,,,,0.1,binary,2,500,5,
acs_income,high_income,ConstantPredictor,process_consistency,1.0,6,,,,,0.1,binary,2,500,6,
